source_code_description,concept_name
PEHA HAFT 4 4,Elastic conforming bandage
Cholera,Cholera
" Cholera due to Vibrio cholerae 01, biovar eltor ",Cholera due to Vibrio cholerae El Tor
" Cholera, unspecified ",Cholera
Paratyphoid fever A,Paratyphoid A fever
Paratyphoid fever C,Paratyphoid C fever
" Paratyphoid fever, unspecified ",Paratyphoid fever
Other salmonella infections,Salmonella infection
Salmonella enteritis,Salmonella enterica subspecies arizonae infection
Salmonella sepsis,Sepsis due to Salmonella
Shigellosis due to Shigella boydii,Infection due to Group C Shigella
Shigellosis due to Shigella sonnei,Infection due to Group D Shigella
" Shigellosis, unspecified ",Shigellosis
Other bacterial intestinal infections,Bacterial enteritis
Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli gastrointestinal tract infection
Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli gastrointestinal tract infection
Enterohemorrhagic Escherichia coli infection,Verotoxigenic Escherichia coli gastrointestinal tract infection
Enteritis due to Yersinia enterocolitica,Infection by Yersinia enterocolitica
Botulism,Foodborne botulism
Foodborne Bacillus cereus intoxication,Food poisoning due to Bacillus cereus
Other specified bacterial foodborne intoxications,Bacterial food poisoning
" Bacterial foodborne intoxication, unspecified ",Food poisoning
Amoebiasis,Amebic infection
Acute amoebic dysentery,Acute amebic dysentery
Chronic intestinal amoebiasis,Chronic intestinal amebiasis
Amoeboma of intestine,Amebic infection
Amoebic lung abscess J99.8 ,Amebic lung abscess
Cryptosporidiosis,Cryptosporidiosis
Other specified protozoal intestinal diseases,Protozoal intestinal disease
" Protozoal intestinal disease, unspecified ",Protozoal intestinal disease
Viral and other specified intestinal infections,Intestinal infectious disease
Rotaviral enteritis,Enteritis due to rotavirus
" Viral intestinal infection, unspecified ",Intestinal infectious disease
Other specified intestinal infections,Intestinal infectious disease
" Tuberculosis of lung, confirmed by sputum microscopy with or without culture "," Tuberculosis of lung, confirmed by sputum microscopy with or without culture "
" Tuberculosis of lung with cavitation, confirmed by sputum microscopy with or without culture "," Tuberculosis of lung, confirmed by sputum microscopy with or without culture "
" Tuberculosis of lung without cavitation or unspecified, confirmed by sputum microscopy with or without culture "," Tuberculosis of lung, confirmed by sputum microscopy with or without culture "
" Tuberculosis of lung, confirmed by culture only "," Tuberculosis of lung, confirmed by culture only "
" Tuberculosis of lung with cavitation, confirmed histologically "," Tuberculosis of lung, confirmed histologically "
" Tuberculosis of lung without cavitation or unspecified, confirmed histologically "," Tuberculosis of lung, confirmed histologically "
" Tuberculosis of lung, confirmed by unspecified means ",Pulmonary tuberculosis
" Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically "," Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically "
" Tuberculous pleurisy, confirmed bacteriologically and histologically "," Tuberculous pleurisy, confirmed bacteriologically and histologically "
" Other respiratory tuberculosis, confirmed bacteriologically and histologically ",Pulmonary tuberculosis
" Respiratory tuberculosis unspecified, without cavitation or unspecified, confirmed bacteriologically and histologically ",Pulmonary tuberculosis
" Tuberculous of lung without cavitation or unspecified, bacteriological and histological examination not done "," Tuberculosis of lung, bacteriological and histological examination not done "
" Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation ",Pulmonary tuberculosis
" Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation ",Tuberculosis of intrathoracic lymph nodes
" Tuberculous pleurisy, without mention of bacteriological or histological confirmation ",Tuberculosis of pleura
" Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation ",Pulmonary tuberculosis
" Respiratory tuberculosis unspecified with cavitation, without mention of bacteriological or histological confirmation ",Pulmonary tuberculosis
" Respiratory tuberculosis unspecified without cavitation or unspecified, without mention of bacteriological or histological confirmation ",Pulmonary tuberculosis
Tuberculosis of nervous system,Tuberculosis
Meningeal tuberculoma G07 ,Tuberculoma of meninges
Other tuberculosis of nervous system,Tuberculosis of central nervous system
Tuberculoma of brain and spinal cord G07 ,Tuberculosis of central nervous system
Tuberculous meningoencephalitis G05.0 ,Tuberculosis of central nervous system
Other tuberculosis of nervous system G63.0 ,Tuberculosis of central nervous system
Tuberculosis of other organs,Tuberculosis
Tuberculosis of spine M49.0 ,Tuberculosis of bones and or joints
Tuberculosis arthritis of other joints M01.1 ,Tuberculosis of bones and or joints
Tuberculosis of other bones,Tuberculosis of bones and or joints
Tuberculosis of kidney and ureter N29.1 ,Tuberculosis of genitourinary system
Tuberculosis of other urinary organs,Tuberculosis of genitourinary system
