source_code_description,concept_name
" Cholera due to Vibrio cholerae 01, biovar cholerae ",Cholera
Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers
Typhoid fever,Typhoid fever
Paratyphoid fever B,Paratyphoid B fever
Localized salmonella infections,Localized Salmonella infection
Other specified salmonella infections,Salmonella infection
" Salmonella infection, unspecified ",Salmonella infection
Shigellosis,Shigellosis
Shigellosis due to Shigella dysenteriae,Infection due to Group A Shigella
Shigellosis due to Shigella flexneri,Infection due to Group B Shigella
Other shigellosis,Infection by Shigella
Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli gastrointestinal tract infection
Other intestinal Escherichia coli infection,Intestinal infection due to E. coli
Campylobacter enteritis,Enteric campylobacteriosis
Enterocolitis due to Clostridium difficile,Clostridium difficile infection
Other specified bacterial intestinal infections,Bacterial enteritis
" Bacterial intestinal infection, unspecified ",Bacterial enteritis
" Other bacterial foodborne intoxications, NEC ",Food poisoning
Foodborne staphylococcal intoxication,Food poisoning due to staphylococcus
Foodborne Clostridium perfringens Clostridium welchii intoxication,Food poisoning due to Clostridium perfringens
Foodborne Vibrio parahaemolyticus intoxication,Food poisoning caused by Vibrio parahaemolyticus
Amoebic nondysenteric colitis,Amebic nondysenteric colitis
Amoebic liver abscess,Amebic liver abscess
Amoebic brain abscess G07 ,Amebic brain abscess
Cutaneous amoebiasis,Amebiasis of skin
Amoebic infection of other sites,Amebic infection
" Amoebiasis, unspecified ",Amebic infection
Other protozoal intestinal diseases,Protozoal intestinal disease
Balantidiasis,Balantidiasis
Giardiasis lambliasis ,Giardiasis
lsosporiasis,Isosporiasis
Acute gastroenteropathy due to Norwalk agent,Viral gastroenteritis due to Norwalk-like agent
Adenoviral enteritis,Adenoviral enteritis
Other viral enteritis,Viral enteritis
Gastroenteritis and colitis of unspecified origin,Inflammatory disorder of digestive tract
" Respiratory tuberculosis, bacteriologically and histologically confirmed ",Pulmonary tuberculosis
" Tuberculosis of lung, confirmed histologically "," Tuberculosis of lung, confirmed histologically "
" Tuberculosis of lung with cavitation, confirmed by unspecified means ",Pulmonary tuberculosis
" Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means ",Pulmonary tuberculosis
" Primary respiratory tuberculosis, confirmed bacteriologically and histologically "," Primary respiratory tuberculosis, confirmed bacteriologically and histologically "
" Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically ",Pulmonary tuberculosis
